state_name,pc_no,pc_name,total_electors,male_electors,female_electors,third_gender_electors,previous_turnout_pct,target_turnout_pct
Rajasthan,2,BIKANER (SC),2050748,1080305,970411,32,59.434184404210775,54.58
Rajasthan,3,CHURU,2222213,1164762,1057435,16,65.90408418783778,64.2
Rajasthan,4,JHUNJHUNU,2097732,1108445,989274,13,62.11430830153745,53.63
Rajasthan,5,SIKAR,2232334,1172253,1060067,14,65.17697779989537,58.43
Rajasthan,6,JAIPUR RURAL,2194555,1154768,1039779,8,65.5385133840911,57.67
Rajasthan,7,JAIPUR,2288793,1192089,1096624,80,68.47633380206402,64.01
Rajasthan,8,ALWAR,2075093,1099008,976062,23,67.16763991349859,60.57
Rajasthan,9,BHARATPUR (SC),2124971,1136386,988564,21,59.10971018533857,53.46
Rajasthan,10,KARAULI-DHOLPUR (SC),1980182,1068519,911647,16,55.18305244635127,50.05
Rajasthan,11,DAUSA (ST),1903520,1007209,896307,4,61.49712562467889,56.45
Rajasthan,12,TONK-SAWAI MADHOPUR,2150616,1124371,1026231,14,63.43638617219393,57.13
Rajasthan,13,AJMER,1999399,1018562,980810,27,67.32478977757833,60.16
Rajasthan,14,NAGAUR,2155502,1117896,1037594,12,62.32114212466681,57.59
Rajasthan,15,PALI,2348274,1222106,1126130,38,62.984609534418645,57.73
Rajasthan,16,JODHPUR,2138241,1120959,1017235,47,68.88614057457372,64.82
Rajasthan,17,BARMER,2208630,1179235,1029386,9,73.29756221696438,76.48
Rajasthan,18,JALORE,2297692,1205880,1091798,14,65.7395748641879,63.17
Rajasthan,19,UDAIPUR (ST),2231240,1133450,1097771,19,70.32498227883332,67.19
Rajasthan,20,BANSWARA (ST),2200607,1111037,1089548,22,72.90332738001223,74.39
Rajasthan,21,CHITTORGARH,2170738,1092935,1077776,27,72.3874218653502,69.08
Rajasthan,22,RAJSAMAND,2064478,1059097,1005356,25,64.86700113073739,58.82
Rajasthan,23,BHILWARA,2148657,1090873,1057766,18,65.63824269223683,60.74
Rajasthan,24,KOTA,2088853,1073583,1015232,38,70.22181610977356,71.86
Rajasthan,25,JHALAWAR-BARAN,2030974,1042530,988418,26,71.95958757688288,70.02
Sikkim,1,Sikkim,466643,234871,231769,3,81.40801791176796,83.26
Tamil Nadu,1,TIRUVALLUR (SC),2086686,1024762,1061539,385,72.33482461592196,68.78
Tamil Nadu,2,CHENNAI NORTH,1496459,730606,765310,543,64.25645013951244,60.33
Tamil Nadu,3,CHENNAI SOUTH,2023381,1001058,1021859,464,57.07231650040815,54.36
Tamil Nadu,4,CHENNAI CENTRAL,1350334,667618,682261,455,58.97748254897546,54.19
Tamil Nadu,5,SRIPERUMBUDUR,2382578,1180639,1201510,429,62.444440697100625,60.5
Tamil Nadu,6,KANCHEEPURAM (SC),1749192,853765,895124,303,75.31411345067373,72.07
Tamil Nadu,7,ARAKKONAM,1568140,765517,802458,165,78.64662776930379,74.61
Tamil Nadu,8,VELLORE,1534347,746170,787964,213,71.46317745264113,73.77
Tamil Nadu,9,KRISHNAGIRI,1627851,818670,808876,305,75.94550197202831,71.72
Tamil Nadu,10,DHARMAPURI,1526799,772770,753850,179,82.41093710879767,81.82
Tamil Nadu,11,TIRUVANNAMALAI,1536993,758342,778530,121,78.14781845247384,74.71
Tamil Nadu,12,ARANI,1499659,737854,761701,104,79.00610702825794,76.06
Tamil Nadu,13,VILUPPURAM (SC),1503959,745174,758565,220,78.65889838576231,77.09
Tamil Nadu,14,KALLAKURICHI,1569097,773933,794936,228,78.80862402530384,79.73
Tamil Nadu,15,SALEM,1659269,828715,830332,222,77.91135817903991,78.79
Tamil Nadu,16,NAMAKKAL,1452952,708697,744097,158,80.21963795956279,78.98
Tamil Nadu,17,ERODE,1538960,745100,793676,184,73.10691908201493,71.11
Tamil Nadu,18,TIRUPPUR,1608720,791217,817248,255,73.20802293312349,71.09
Tamil Nadu,19,NILGIRIS (SC),1428889,688031,740765,93,74.01204925113099,71.39
Tamil Nadu,20,COIMBATORE,2106500,1041683,1064436,381,63.85861685922332,65.23
